"register_number","course_code","grade"
"2312402","23SH12C","B+"
"2312402","23SH13C","A+"
"2312402","23SH14C","C"
"2312402","23SH15C","B"
"2312402","23SH16C","A"
"2312402","23CS11C","U"
"2312402","23EE11C","B"
"2312403","23SH11C","B"
"2312403","23SH12C","B+"
"2312403","23SH13C","O"
"2312403","23SH14C","C"
"2312403","23SH15C","B+"
"2312403","23SH16C","A+"
"2312403","23CS11C","C"
"2312403","23EE11C","B"
"2312404","23SH11C","B"
"2312404","23SH12C","A"
"2312404","23SH13C","U"
"2312404","23SH14C","B"
"2312404","23SH15C","B+"
"2312404","23SH16C","O"
"2312404","23CS11C","C"
"2312404","23EE11C","B+"
"2312405","23SH11C","B+"
"2312405","23SH12C","A+"
"2312405","23SH13C","C"
"2312405","23SH14C","B"
"2312405","23SH15C","A"
"2312405","23SH16C","U"
"2312405","23CS11C","B"
"2312405","23EE11C","B+"
"2312406","23SH11C","B+"
"2312406","23SH12C","O"
"2312406","23SH13C","C"
"2312406","23SH14C","B+"
"2312406","23SH15C","A+"
"2312406","23SH16C","C"
"2312406","23CS11C","B"
"2312406","23EE11C","A"
"2312407","23SH11C","A"
"2312407","23SH12C","U"
"2312407","23SH13C","B"
"2312407","23SH14C","B+"
"2312407","23SH15C","O"
"2312407","23SH16C","C"
"2312407","23CS11C","B+"
"2312407","23EE11C","A+"
"2312408","23SH11C","A+"
"2312408","23SH12C","C"
"2312408","23SH13C","B"
"2312408","23SH14C","A"
"2312408","23SH15C","U"
"2312408","23SH16C","B"
"2312408","23CS11C","B+"
"2312408","23EE11C","O"
